epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25519,2.32059,3.88565,2.19529,0.00725,0.67742,0.11167,0.04049,2.40674,4.67892,2.1434,1.429e-05,1.429e-05,1.429e-05
2,14.5965,1.9253,3.59733,1.78762,0.00876,0.77419,0.20932,0.08848,2.25846,4.71585,2.03251,4.20212e-05,4.20212e-05,4.20212e-05
3,20.8974,1.83689,3.42392,1.74421,0.0106,0.83871,0.37036,0.18102,2.08,4.58118,1.8463,6.86206e-05,6.86206e-05,6.86206e-05
4,26.6535,1.88763,3.54227,1.77278,0.0139,0.90323,0.51262,0.23659,1.8498,4.39461,1.6424,9.40882e-05,9.40882e-05,9.40882e-05
5,32.4001,1.70578,2.93434,1.6541,0.01744,0.83871,0.58817,0.3859,1.49658,4.07842,1.48575,0.000118424,0.000118424,0.000118424
6,37.9064,1.55964,2.58689,1.43917,0.02495,0.83871,0.6969,0.43695,1.4261,3.93889,1.45738,0.000141628,0.000141628,0.000141628
7,43.707,1.5801,2.26281,1.49482,0.03301,0.87097,0.74185,0.45891,1.40217,3.86493,1.42324,0.000163701,0.000163701,0.000163701
8,49.3855,1.46582,2.1084,1.47968,0.03431,0.87097,0.76254,0.49808,1.35294,3.69745,1.37792,0.000184641,0.000184641,0.000184641
9,56.3736,1.4798,1.86377,1.4612,0.03191,0.87097,0.77697,0.50275,1.28793,3.67376,1.33804,0.00020445,0.00020445,0.00020445
10,62.9402,1.50795,1.81551,1.45116,0.03461,0.90323,0.83629,0.52375,1.26828,3.70305,1.32485,0.000223127,0.000223127,0.000223127
11,69.1698,1.54622,1.81176,1.41149,0.0367,0.90323,0.85713,0.52177,1.27733,3.70124,1.34077,0.000240672,0.000240672,0.000240672
12,75.1746,1.38889,1.79114,1.305,0.04082,0.90323,0.85529,0.53431,1.24669,3.70999,1.31165,0.000257086,0.000257086,0.000257086
13,80.7316,1.38889,1.95501,1.37701,0.04762,0.90323,0.89377,0.53916,1.25521,3.7176,1.30157,0.000272367,0.000272367,0.000272367
14,86.2073,1.38895,1.70461,1.2826,0.04236,0.90323,0.88904,0.55516,1.23864,3.68459,1.28506,0.000286517,0.000286517,0.000286517
15,92.0411,1.54394,1.84574,1.39636,0.05323,0.90323,0.88058,0.57673,1.23631,3.62101,1.28344,0.000299536,0.000299536,0.000299536
16,98.3184,1.36385,1.68834,1.30647,0.06683,0.90323,0.88362,0.58042,1.27404,3.52648,1.2865,0.000311422,0.000311422,0.000311422
